Date,Close/Last,Volume,Open,High,Low
8/16/2024,$164.74 ,16853140,$163.41 ,$166.95 ,$163.08 
8/15/2024,$163.17 ,18392450,$162.21 ,$163.52 ,$161.49 
8/14/2024,$162.03 ,22515900,$164.21 ,$164.96 ,$159.53 
8/13/2024,$165.93 ,12717630,$165.19 ,$166.54 ,$164.77 
8/12/2024,$163.95 ,12434970,$166.00 ,$166.70 ,$163.55 
8/9/2024,$165.39 ,13549230,$161.65 ,$165.52 ,$160.93 
8/8/2024,$163.84 ,15733610,$162.34 ,$165.50 ,$162.03 
8/7/2024,$160.75 ,19334250,$163.24 ,$164.79 ,$160.24 
8/6/2024,$160.54 ,36146540,$160.95 ,$162.35 ,$158.13 
8/5/2024,$160.64 ,34907820,$157.37 ,$165.94 ,$156.60 
8/2/2024,$168.40 ,18907770,$168.19 ,$170.21 ,$166.39 
8/1/2024,$172.45 ,17177830,$171.98 ,$175.68 ,$170.51 
7/31/2024,$173.15 ,15650150,$174.92 ,$175.91 ,$171.72 
7/30/2024,$171.86 ,13681420,$171.83 ,$172.95 ,$170.12 
7/29/2024,$171.13 ,13768930,$170.50 ,$172.16 ,$169.72 
7/26/2024,$168.68 ,25150120,$168.77 ,$169.84 ,$165.87 
7/25/2024,$169.16 ,28967880,$174.25 ,$175.20 ,$169.05 
7/24/2024,$174.37 ,31250680,$175.39 ,$177.95 ,$173.57 
7/23/2024,$183.60 ,23772600,$183.84 ,$185.22 ,$183.33 
7/22/2024,$183.35 ,16303900,$182.35 ,$184.30 ,$181.90 
7/19/2024,$179.39 ,14485900,$180.37 ,$181.97 ,$178.86 
7/18/2024,$179.22 ,17877200,$183.54 ,$184.05 ,$178.21 
7/17/2024,$182.62 ,17376560,$184.68 ,$185.23 ,$181.62 
7/16/2024,$185.50 ,12760100,$188.96 ,$190.34 ,$185.12 
7/15/2024,$188.19 ,12186020,$186.49 ,$189.90 ,$186.49 
7/12/2024,$186.78 ,14449110,$186.92 ,$188.69 ,$186.14 
7/11/2024,$187.30 ,16451980,$191.34 ,$192.41 ,$186.82 
7/10/2024,$192.66 ,12052910,$190.75 ,$193.31 ,$190.62 
